timestamp, date, freeze, opened, closed, comments, version age median, version age 10%, bug age median
1388552400,01/01/14,0,0,0,0,0,0,0
1389157200,01/08/14,0,0,0,0,0,0,0
1389762000,01/15/14,0,0,0,0,0,0,0
1390366800,01/22/14,0,0,0,0,0,0,0
1390971600,01/29/14,0,0,0,0,0,0,0
1391576400,02/05/14,0,0,0,0,0,0,0
1392181200,02/12/14,0,0,0,0,0,0,0
1392786000,02/19/14,0,0,0,0,0,0,0
1393390800,02/26/14,0,0,0,0,0,0,0
1393995600,03/05/14,0,0,0,0,0,0,0
1394600400,03/12/14,0,0,0,0,0,0,0
1395205200,03/19/14,0,0,0,0,0,0,0
1395810000,03/26/14,0,0,0,0,0,0,0
1396414800,04/02/14,0,0,0,0,0,0,0
1397019600,04/09/14,0,0,0,0,0,0,0
1397624400,04/16/14,0,0,0,0,0,0,0
1398229200,04/23/14,0,0,0,0,0,0,0
1398834000,04/30/14,0,0,0,0,0,0,0
1399438800,05/07/14,0,0,0,0,0,0,0
1400043600,05/14/14,0,0,0,0,0,0,0
1400648400,05/21/14,0,0,0,0,0,0,0
1401253200,05/28/14,0,0,0,0,0,0,0
1401858000,06/04/14,0,0,0,0,0,0,0
1402462800,06/11/14,0,0,0,0,0,0,0
1403067600,06/18/14,0,0,0,0,0,0,0
1403672400,06/25/14,0,0,0,0,0,0,0
1404277200,07/02/14,0,0,0,0,0,0,0
1404882000,07/09/14,0,0,0,0,0,0,0
1405486800,07/16/14,0,0,0,0,0,0,0
1406091600,07/23/14,0,0,0,0,0,0,0
1406696400,07/30/14,0,0,0,0,0,0,0
1407301200,08/06/14,0,0,0,0,0,0,0
1407906000,08/13/14,0,0,0,0,0,0,0
1408510800,08/20/14,0,0,0,0,0,0,0
1409115600,08/27/14,0,0,0,0,0,0,0
1409720400,09/03/14,0,0,0,0,0,0,0
1410325200,09/10/14,0,0,0,0,0,0,0
1410930000,09/17/14,0,0,0,0,0,0,0
1411534800,09/24/14,0,0,0,0,0,0,0
1412139600,10/01/14,0,0,0,0,0,0,0
1412744400,10/08/14,0,0,0,0,0,0,0
1413349200,10/15/14,0,0,0,0,0,0,0
1413954000,10/22/14,0,0,0,0,0,0,0
1414558800,10/29/14,0,43,0,263,388,54,40
1415163600,11/05/14,0,203,0,846,376,32,41
1415768400,11/12/14,1,108,0,825,456,40,42
1416373200,11/19/14,1,47,0,673,375,33,42
1416978000,11/26/14,1,53,2,575,544,71,47
1417582800,12/03/14,1,34,35,456,451,70,47
1418187600,12/10/14,1,44,75,604,475,48,48
1418792400,12/17/14,1,32,90,518,237,58,41
1419397200,12/24/14,1,13,40,213,1056,63,41
1420002000,12/31/14,1,25,63,288,495,65,50
1420606800,01/07/15,1,41,28,457,426,75,50
1421211600,01/14/15,1,54,42,501,490,82,49
1421816400,01/21/15,1,19,30,389,597,109,70
1422421200,01/28/15,1,23,23,340,108,72,37
1423026000,02/04/15,1,13,25,245,318,98,77
1423630800,02/11/15,1,286,18,583,1006,178,193
1424235600,02/18/15,1,26,31,296,439,139,37
1424840400,02/25/15,1,20,17,305,975,124,42
1425445200,03/04/15,1,24,35,315,588,162,42
1426050000,03/11/15,1,27,17,338,310,149,56
1426654800,03/18/15,1,11,16,266,517,18,60
1427259600,03/25/15,1,22,25,247,1031,148,57
1427864400,04/01/15,1,15,31,271,458,133,52
1428469200,04/08/15,1,23,24,270,995,200,80
1429074000,04/15/15,1,14,13,149,220,172,317
1429678800,04/22/15,1,32,16,359,701,303,744
1430283600,04/29/15,0,41,9,394,531,184,58
1430888400,05/06/15,0,37,11,434,979,235,97
1431493200,05/13/15,0,28,10,333,665,207,114
1432098000,05/20/15,0,71,38,522,1611,399,242
1432702800,05/27/15,0,40,18,393,1184,211,127
1433307600,06/03/15,0,55,8,472,677,109,68
1433912400,06/10/15,0,51,16,734,842,279,101
1434517200,06/17/15,0,38,16,493,1244,286,165
1435122000,06/24/15,0,116,14,953,1006,268,93
1435726800,07/01/15,0,134,24,715,777,311,92
1436331600,07/08/15,0,61,16,575,919,326,50
1436936400,07/15/15,0,32,14,639,1171,269,55
1437541200,07/22/15,0,59,38,662,1257,284,74
1438146000,07/29/15,0,76,56,708,683,273,62
1438750800,08/05/15,0,77,84,806,589,266,58
1439355600,08/12/15,0,89,66,793,594,269,55
1439960400,08/19/15,0,117,58,777,1137,153,64
1440565200,08/26/15,0,103,83,769,662,299,47
1441170000,09/02/15,0,62,46,671,1182,118,73
1441774800,09/09/15,0,69,55,676,1163,318,61
1442379600,09/16/15,0,75,60,663,768,87,60
1442984400,09/23/15,0,59,57,477,2927,328,172
1443589200,09/30/15,0,39,146,746,834,99,43
1444194000,10/07/15,0,34,102,592,1204,92,51
1444798800,10/14/15,0,143,69,690,736,120,52
1445403600,10/21/15,0,64,44,707,591,63,60
1446008400,10/28/15,0,83,43,754,797,119,74
1446613200,11/04/15,0,106,49,736,734,108,57
1447218000,11/11/15,0,85,40,593,843,189,61
1447822800,11/18/15,0,102,71,593,1246,158,161
1448427600,11/25/15,0,74,81,516,493,84,73
1449032400,12/02/15,0,70,61,576,1256,184,69
1449637200,12/09/15,0,57,60,745,765,154,54
1450242000,12/16/15,0,151,58,834,1255,172,46
1450846800,12/23/15,0,67,56,611,677,105,45
1451451600,12/30/15,0,64,32,590,711,96,47
1452056400,01/06/16,0,60,52,705,543,84,52
1452661200,01/13/16,0,366,99,1143,1254,145,221
1453266000,01/20/16,0,104,105,871,779,137,60
1453870800,01/27/16,0,54,78,714,738,102,48
1454475600,02/03/16,0,85,94,703,942,174,54
1455080400,02/10/16,0,69,73,701,709,66,62
1455685200,02/17/16,0,60,74,886,578,64,53
1456290000,02/24/16,0,66,80,682,564,98,50
1456894800,03/02/16,0,85,69,678,640,89,45
1457499600,03/09/16,0,101,98,741,2884,188,102
1458104400,03/16/16,0,88,62,597,749,124,70
1458709200,03/23/16,0,27,60,427,240,57,47
1459314000,03/30/16,0,58,112,633,634,81,57
1459918800,04/06/16,0,51,68,688,470,76,43
1460523600,04/13/16,0,164,44,826,1054,225,75
1461128400,04/20/16,0,108,61,735,789,95,52
1461733200,04/27/16,0,45,49,563,625,133,47
1462338000,05/04/16,0,43,61,978,606,84,45
1462942800,05/11/16,0,40,63,541,649,76,41
1463547600,05/18/16,0,52,66,747,619,109,44
1464152400,05/25/16,0,55,81,629,948,116,81
1464757200,06/01/16,0,42,61,543,841,166,40
1465362000,06/08/16,0,40,63,569,772,118,64
1465966800,06/15/16,0,58,53,570,1079,123,41
1466571600,06/22/16,0,299,87,854,875,155,199
1467176400,06/29/16,0,118,59,1389,1133,129,38
1467781200,07/06/16,0,204,57,1211,891,217,43
1468386000,07/13/16,0,191,51,1089,713,113,58
1468990800,07/20/16,0,72,50,787,2278,331,73
1469595600,07/27/16,0,106,84,1038,1856,339,149
1470200400,08/03/16,0,52,137,859,645,118,41
1470805200,08/10/16,0,68,157,916,1032,137,48
1471410000,08/17/16,0,109,105,746,706,128,50
1472014800,08/24/16,0,162,100,1064,336,54,49
1472619600,08/31/16,0,84,79,898,959,151,54
1473224400,09/07/16,0,194,127,1124,958,96,59
1473829200,09/14/16,0,40,103,878,876,92,105
1474434000,09/21/16,0,50,86,853,420,87,41
1475038800,09/28/16,0,149,108,950,931,126,48
1475643600,10/05/16,0,42,94,759,733,54,82
1476248400,10/12/16,0,54,118,712,418,134,103
1476853200,10/19/16,0,120,60,1251,805,127,97
1477458000,10/26/16,0,46,150,1422,830,92,88
1478062800,11/02/16,0,73,131,1239,412,45,54
1478667600,11/09/16,0,69,68,1169,747,66,48
1479272400,11/16/16,0,208,9,1482,424,47,41
1479877200,11/23/16,0,100,15,983,785,153,61
1480482000,11/30/16,0,142,15,3121,825,49,55
1481086800,12/07/16,0,45,27,1116,868,96,50
1481691600,12/14/16,0,95,10,1017,369,68,43
1482296400,12/21/16,0,27,16,690,1035,101,42
1482901200,12/28/16,0,43,494,1286,566,57,43
1483506000,01/04/17,0,57,20,788,307,33,49
1484110800,01/11/17,0,94,24,1030,508,39,42
1484715600,01/18/17,1,55,25,892,295,34,41
1485320400,01/25/17,1,92,785,2192,347,61,37
1485925200,02/01/17,1,57,95,837,865,34,38
1486530000,02/08/17,1,45,118,779,524,39,40
1487134800,02/15/17,1,25,127,596,621,61,38
1487739600,02/22/17,1,52,137,782,1045,147,37
1488344400,03/01/17,1,52,92,585,659,76,43
1488949200,03/08/17,1,56,79,712,900,125,38
1489554000,03/15/17,1,61,58,559,1057,102,48
1490158800,03/22/17,1,33,65,527,509,78,34
1490763600,03/29/17,1,26,74,488,1332,88,37
1491368400,04/05/17,1,30,59,443,554,107,36
1491973200,04/12/17,1,18,49,368,1017,272,43
1492578000,04/19/17,1,94,43,642,586,125,33
1493182800,04/26/17,1,36,35,524,389,86,38
1493787600,05/03/17,1,32,56,530,682,119,47
1494392400,05/10/17,1,29,31,409,546,61,43
1494997200,05/17/17,1,17,62,428,372,106,40
1495602000,05/24/17,1,36,46,552,1317,144,37
1496206800,05/31/17,1,29,45,533,315,152,31
1496811600,06/07/17,1,11,45,229,415,138,34
1497416400,06/14/17,1,48,113,826,485,231,13
1498021200,06/21/17,0,87,60,723,439,201,8
1498626000,06/28/17,0,119,115,844,917,217,4
1499230800,07/05/17,0,139,100,825,577,227,2
1499835600,07/12/17,0,75,325,1113,988,231,1
1500440400,07/19/17,0,134,52,552,648,256,0
1501045200,07/26/17,0,0,0,0,0,0,0
